Feed,Feed_status,Spec_status,Content_Updated_At,Error
http://feeds.ricostruzionetrasparente.it/albi_pretori/Roccafluvione_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/AlboPretorioComuneDiRoncade,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Rotella_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/AlbopopSanBiagioDiCallalta,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/AlbopopSanCipirello,ATTIVO,"Non Rilevato","2019-05-18  -60 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/San%20Ginesio_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/SanGiuseppeJatoAlboPretorio,ATTIVO,"Non Rilevato","2019-03-01  -138 gg.",
http://feeds.feedburner.com/AlbopopSanMarzano,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/Newspopsanpancraziosalentino,ATTIVO,"Non Rilevato","1970-01-01  -18094 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/San%20Severino%20Marche_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://dev.opendatasicilia.it/albopop/santagatalibattiati/albo2RSS.php,"NON ATTIVO","Non Rilevato",,"cURL error 7: Failed to connect to dev.opendatasicilia.it port 80: Connection timed out (see http://curl.haxx.se/libcurl/c/libcurl-errors.html)"
http://feeds.ricostruzionetrasparente.it/albi_pretori/Sant%27Anatolia%20di%20Narco_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Sant%27Angelo%20in%20Pontano_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Santa%20Vittoria%20in%20Matenano_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Sarnano_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/AlbopopSava,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Scheggino_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://www.semplicepa.it/rssfeed/043050.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Sellano_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
